,total,white,blk_af_am,am_indian_alas_nat,asian,nat_haw_pac_island,other,two_or_more,GEO_ID,County,perc_white,perc_blk_af_am,perc_am_indian_alas_nat,perc_asian,perc_nat_haw_pac_island,perc_other,perc_two_or_more,fips
359,356921,293048,25635,2103,17982,42,6295,11816,0500000US27003,"Anoka County, Minnesota",0.8210444328016564,0.07182261620918914,0.005892060147763791,0.050380896612975984,0.0001176730985288061,0.017636956077115105,0.03310536505277078,27003
360,67653,61178,3281,185,1683,0,322,1004,0500000US27013,"Blue Earth County, Minnesota",0.9042910144413404,0.04849747978655788,0.0027345424445331325,0.024876945589996008,0.0,0.004759581984538749,0.014840435753033863,27013
361,105089,95967,345,258,4958,18,943,2600,0500000US27019,"Carver County, Minnesota",0.9131973850736043,0.003282931610349323,0.0024550618999134065,0.04717905775104911,0.00017128338836605163,0.008973346401621483,0.024740933875096346,27019
362,65055,62182,634,668,356,0,328,887,0500000US27035,"Crow Wing County, Minnesota",0.9558373683806011,0.00974559987702713,0.010268234570747829,0.005472292675428483,0.0,0.00504188763354085,0.013634616862654677,27035
363,429021,345069,31116,1432,22343,0,13897,15164,0500000US27037,"Dakota County, Minnesota",0.8043172711825295,0.07252791821379373,0.00333783194762028,0.05207903575815636,0.0,0.03239235375424513,0.035345589143654974,27037
364,1265843,904234,165711,8044,92825,746,38723,55560,0500000US27053,"Hennepin County, Minnesota",0.7143334520947701,0.130909599373698,0.006354658516103498,0.0733305789106548,0.0005893305883905034,0.030590681466816975,0.04389169904956618,27053
365,158293,132020,9797,363,10027,441,874,4771,0500000US27109,"Olmsted County, Minnesota",0.8340229826966449,0.061891555533093695,0.0022932157454846392,0.06334455724510875,0.0027859728478201815,0.005521406505657231,0.03014030942619067,27109
366,550321,361977,68554,2639,82800,130,9542,24679,0500000US27123,"Ramsey County, Minnesota",0.6577561096160242,0.12457093223773034,0.004795383058251457,0.15045764199439962,0.00023622576641632793,0.01733897125495847,0.04484473607221967,27123
367,66972,57069,2986,842,1450,0,1850,2775,0500000US27131,"Rice County, Minnesota",0.852132234366601,0.04458579704951323,0.012572418324075733,0.021650839156662487,0.0,0.027623484441259033,0.04143522666188855,27131
368,199070,182664,3517,4018,2065,106,992,5708,0500000US27137,"St. Louis County, Minnesota",0.9175867785201186,0.0176671522579997,0.020183854925403123,0.010373235545285579,0.0005324760134626011,0.004983171748631135,0.028673330989099313,27137
